medicine,toxicity_level,disposal,compost_safe,warnings
Ranitidine 500mg,Low,Do not flush. Incinerate,No,Can enter waterways through improper disposal.
Ranitidine Cap,Medium,Hazardous waste treatment,No,Should be incinerated to avoid soil contamination.
Ranitidine 250mg,Low,Do not flush. Incinerate,No,Dispose carefully to avoid antibiotic resistance.
Ranitidine Oral,Medium,Eco-bin drop-off,Yes,Toxic if released into groundwater.
Ranitidine 250mg,Medium,Return to pharmacy,No,Harmful to aquatic life.
Ranitidine 500mg,Low,Return to pharmacy,Yes,Disrupts soil microbes if composted.
Ranitidine XL,High,Return to pharmacy,Yes,Should be incinerated to avoid soil contamination.
Ranitidine XL,Low,Safe landfill,No,Eco-hazardous if mixed with household waste.
Ranitidine 250mg,Medium,Return to pharmacy,Yes,Should be incinerated to avoid soil contamination.
Ranitidine Tab,High,Hazardous waste treatment,No,Disrupts soil microbes if composted.
Ranitidine 500mg,Low,Safe landfill,No,Disrupts soil microbes if composted.
Ranitidine Tablet,Medium,Return to pharmacy,Yes,Harmful to aquatic life.
Ranitidine 100mg,High,Hazardous waste treatment,No,Should be incinerated to avoid soil contamination.
Ranitidine 100mg,Low,Do not flush. Incinerate,No,Disrupts soil microbes if composted.
Ranitidine XL,Low,Safe landfill,Yes,Can enter waterways through improper disposal.
Ranitidine Oral,Medium,Safe landfill,No,Disrupts soil microbes if composted.
Ranitidine 500mg,High,Hazardous waste treatment,No,Eco-hazardous if mixed with household waste.
Ranitidine Oral,Low,Eco-bin drop-off,Yes,Disrupts soil microbes if composted.
Ranitidine Cap,Medium,Do not flush. Incinerate,No,Should be incinerated to avoid soil contamination.
Ranitidine 100mg,High,Eco-bin drop-off,No,Harmful to aquatic life.
Ranitidine Oral,Low,Do not flush. Incinerate,Yes,Avoid flushing. Dispose in eco-safe bins.
Ranitidine 100mg,High,Return to pharmacy,No,Dispose carefully to avoid antibiotic resistance.
Ranitidine Capsule,Medium,Eco-bin drop-off,No,Should be incinerated to avoid soil contamination.
Ranitidine 100mg,Low,Hazardous waste treatment,No,Harmful to aquatic life.
Ranitidine 500mg,Low,Safe landfill,No,Should be incinerated to avoid soil contamination.
Ranitidine 250mg,High,Return to pharmacy,No,Toxic if released into groundwater.
Ranitidine 250mg,Low,Return to pharmacy,No,Harmful to aquatic life.
Ranitidine Oral,Low,Do not flush. Incinerate,No,Toxic if released into groundwater.
Ranitidine 100mg,Low,Eco-bin drop-off,Yes,Can enter waterways through improper disposal.
Ranitidine 100mg,Low,Return to pharmacy,Yes,Toxic if released into groundwater.
Ranitidine Tab,Medium,Hazardous waste treatment,No,Disrupts soil microbes if composted.
Ranitidine XL,Low,Hazardous waste treatment,No,Toxic if released into groundwater.
Ranitidine Capsule,Medium,Return to pharmacy,Yes,Can enter waterways through improper disposal.
Ranitidine 250mg,High,Safe landfill,Yes,Disrupts soil microbes if composted.
Ranitidine 250mg,Low,Safe landfill,No,Avoid flushing. Dispose in eco-safe bins.
Ranitidine Cap,Medium,Hazardous waste treatment,No,Dispose carefully to avoid antibiotic resistance.
Ranitidine 500mg,Medium,Hazardous waste treatment,No,Disrupts soil microbes if composted.
Ranitidine Tablet,Medium,Return to pharmacy,No,Eco-hazardous if mixed with household waste.
Ranitidine XL,Low,Eco-bin drop-off,Yes,Harmful to aquatic life.
Ranitidine Capsule,Low,Safe landfill,No,Should be incinerated to avoid soil contamination.
Ranitidine Tab,Medium,Do not flush. Incinerate,Yes,Avoid flushing. Dispose in eco-safe bins.
Ranitidine XL,Medium,Return to pharmacy,No,Dispose carefully to avoid antibiotic resistance.
Ranitidine 250mg,Low,Hazardous waste treatment,No,Avoid flushing. Dispose in eco-safe bins.
Ranitidine 100mg,Medium,Safe landfill,No,Eco-hazardous if mixed with household waste.
Ranitidine Tablet,Low,Return to pharmacy,No,Disrupts soil microbes if composted.
Ranitidine 250mg,Medium,Return to pharmacy,Yes,Can enter waterways through improper disposal.
Ranitidine Cap,Low,Hazardous waste treatment,No,Avoid flushing. Dispose in eco-safe bins.
Ranitidine 100mg,High,Do not flush. Incinerate,Yes,Can enter waterways through improper disposal.
Ranitidine Oral,Medium,Eco-bin drop-off,No,Dispose carefully to avoid antibiotic resistance.
Ranitidine 250mg,Medium,Hazardous waste treatment,No,Avoid flushing. Dispose in eco-safe bins.
Ranitidine Tablet,High,Return to pharmacy,Yes,Harmful to aquatic life.
Ranitidine Oral,Low,Do not flush. Incinerate,No,Should be incinerated to avoid soil contamination.
Ranitidine SR,High,Hazardous waste treatment,No,Can enter waterways through improper disposal.
Ranitidine Tablet,Medium,Return to pharmacy,No,Toxic if released into groundwater.
Ranitidine Oral,Low,Return to pharmacy,Yes,Eco-hazardous if mixed with household waste.
Ranitidine Capsule,Low,Safe landfill,No,Disrupts soil microbes if composted.
Ranitidine Tab,Low,Hazardous waste treatment,No,Should be incinerated to avoid soil contamination.
Ranitidine Tablet,Medium,Do not flush. Incinerate,No,Toxic if released into groundwater.
Ranitidine SR,Low,Do not flush. Incinerate,Yes,Should be incinerated to avoid soil contamination.
Ranitidine Tablet,High,Do not flush. Incinerate,No,Can enter waterways through improper disposal.
Ranitidine Oral,High,Do not flush. Incinerate,Yes,Toxic if released into groundwater.
Ranitidine Cap,Medium,Hazardous waste treatment,No,Toxic if released into groundwater.
Ranitidine Tablet,High,Do not flush. Incinerate,Yes,Avoid flushing. Dispose in eco-safe bins.
Ranitidine 100mg,Medium,Eco-bin drop-off,Yes,Harmful to aquatic life.
Ranitidine XL,High,Return to pharmacy,Yes,Eco-hazardous if mixed with household waste.
Ranitidine Capsule,Low,Do not flush. Incinerate,Yes,Can enter waterways through improper disposal.
Ranitidine Cap,Medium,Safe landfill,Yes,Dispose carefully to avoid antibiotic resistance.
Ranitidine Capsule,Low,Safe landfill,No,Avoid flushing. Dispose in eco-safe bins.
Ranitidine 250mg,Low,Eco-bin drop-off,No,Disrupts soil microbes if composted.
Ranitidine 250mg,Low,Hazardous waste treatment,Yes,Dispose carefully to avoid antibiotic resistance.
Ranitidine 500mg,Medium,Return to pharmacy,No,Can enter waterways through improper disposal.
Ranitidine 100mg,High,Hazardous waste treatment,Yes,Avoid flushing. Dispose in eco-safe bins.
Ranitidine SR,High,Return to pharmacy,Yes,Harmful to aquatic life.
Ranitidine XL,Low,Eco-bin drop-off,Yes,Disrupts soil microbes if composted.
Ranitidine Tablet,Low,Return to pharmacy,No,Disrupts soil microbes if composted.
Ranitidine Tablet,Medium,Safe landfill,No,Eco-hazardous if mixed with household waste.
Ranitidine Capsule,High,Do not flush. Incinerate,Yes,Harmful to aquatic life.
Ranitidine Capsule,High,Safe landfill,Yes,Toxic if released into groundwater.
Ranitidine Tablet,Medium,Return to pharmacy,Yes,Dispose carefully to avoid antibiotic resistance.
Ranitidine 500mg,High,Return to pharmacy,No,Eco-hazardous if mixed with household waste.
Ranitidine Cap,Low,Return to pharmacy,Yes,Should be incinerated to avoid soil contamination.
Ranitidine Oral,High,Return to pharmacy,Yes,Eco-hazardous if mixed with household waste.
Ranitidine Tablet,Medium,Eco-bin drop-off,Yes,Toxic if released into groundwater.
Ranitidine Tablet,Low,Hazardous waste treatment,Yes,Avoid flushing. Dispose in eco-safe bins.
Ranitidine Capsule,Medium,Hazardous waste treatment,No,Can enter waterways through improper disposal.
Ranitidine 100mg,High,Return to pharmacy,Yes,Toxic if released into groundwater.
Ranitidine Capsule,High,Safe landfill,No,Harmful to aquatic life.
Ranitidine Oral,Low,Return to pharmacy,Yes,Toxic if released into groundwater.
Ranitidine Tablet,Low,Hazardous waste treatment,Yes,Eco-hazardous if mixed with household waste.
Ranitidine 500mg,Medium,Hazardous waste treatment,Yes,Harmful to aquatic life.
Ranitidine Cap,High,Return to pharmacy,Yes,Avoid flushing. Dispose in eco-safe bins.
Ranitidine Tab,Medium,Eco-bin drop-off,No,Eco-hazardous if mixed with household waste.
Ranitidine Capsule,Medium,Hazardous waste treatment,No,Eco-hazardous if mixed with household waste.
Ranitidine Oral,High,Do not flush. Incinerate,Yes,Dispose carefully to avoid antibiotic resistance.
Ranitidine Capsule,Low,Do not flush. Incinerate,Yes,Toxic if released into groundwater.
Ranitidine 100mg,Medium,Hazardous waste treatment,No,Dispose carefully to avoid antibiotic resistance.
Ranitidine Tablet,Medium,Eco-bin drop-off,No,Can enter waterways through improper disposal.
Ranitidine Tab,High,Eco-bin drop-off,Yes,Harmful to aquatic life.
Ranitidine Oral,High,Return to pharmacy,Yes,Can enter waterways through improper disposal.
Ranitidine Tab,Low,Eco-bin drop-off,Yes,Can enter waterways through improper disposal.
Ranitidine Tablet,High,Safe landfill,Yes,Eco-hazardous if mixed with household waste.
Ranitidine 100mg,High,Hazardous waste treatment,Yes,Disrupts soil microbes if composted.
Ranitidine 250mg,High,Eco-bin drop-off,No,Should be incinerated to avoid soil contamination.
Ranitidine Tab,Medium,Eco-bin drop-off,Yes,Can enter waterways through improper disposal.
Ranitidine 100mg,Medium,Return to pharmacy,Yes,Disrupts soil microbes if composted.
Ranitidine Tablet,Medium,Safe landfill,Yes,Dispose carefully to avoid antibiotic resistance.
Ranitidine Oral,Low,Do not flush. Incinerate,No,Harmful to aquatic life.
Ranitidine SR,Low,Safe landfill,No,Harmful to aquatic life.
Ranitidine Cap,High,Safe landfill,No,Should be incinerated to avoid soil contamination.
Ranitidine Capsule,High,Eco-bin drop-off,Yes,Harmful to aquatic life.
Ranitidine XL,High,Eco-bin drop-off,Yes,Dispose carefully to avoid antibiotic resistance.
Ranitidine Tablet,Low,Safe landfill,No,Eco-hazardous if mixed with household waste.
Ranitidine Cap,Low,Eco-bin drop-off,Yes,Disrupts soil microbes if composted.
Ranitidine Oral,Medium,Eco-bin drop-off,Yes,Should be incinerated to avoid soil contamination.
Ranitidine SR,Low,Eco-bin drop-off,Yes,Dispose carefully to avoid antibiotic resistance.
Pantoprazole XL,High,Do not flush. Incinerate,Yes,Should be incinerated to avoid soil contamination.
Pantoprazole XL,Medium,Hazardous waste treatment,No,Eco-hazardous if mixed with household waste.
Pantoprazole SR,High,Safe landfill,No,Dispose carefully to avoid antibiotic resistance.
Pantoprazole 500mg,Medium,Safe landfill,Yes,Harmful to aquatic life.
Pantoprazole 100mg,Low,Return to pharmacy,Yes,Eco-hazardous if mixed with household waste.
Pantoprazole Oral,High,Do not flush. Incinerate,Yes,Toxic if released into groundwater.
Pantoprazole 500mg,Medium,Return to pharmacy,Yes,Should be incinerated to avoid soil contamination.
Pantoprazole SR,Low,Do not flush. Incinerate,No,Toxic if released into groundwater.
Pantoprazole Tab,Low,Safe landfill,Yes,Disrupts soil microbes if composted.
Pantoprazole XL,Medium,Eco-bin drop-off,Yes,Avoid flushing. Dispose in eco-safe bins.
Pantoprazole Tablet,High,Hazardous waste treatment,Yes,Avoid flushing. Dispose in eco-safe bins.
Pantoprazole 250mg,Medium,Safe landfill,No,Eco-hazardous if mixed with household waste.
Pantoprazole Tablet,Medium,Do not flush. Incinerate,No,Can enter waterways through improper disposal.
Pantoprazole Oral,High,Eco-bin drop-off,No,Eco-hazardous if mixed with household waste.
Pantoprazole Oral,Low,Hazardous waste treatment,Yes,Harmful to aquatic life.
Pantoprazole 100mg,Low,Eco-bin drop-off,No,Can enter waterways through improper disposal.
Pantoprazole Tablet,Low,Do not flush. Incinerate,Yes,Disrupts soil microbes if composted.
Pantoprazole Capsule,High,Do not flush. Incinerate,No,Toxic if released into groundwater.
Pantoprazole Capsule,Low,Hazardous waste treatment,No,Harmful to aquatic life.
Pantoprazole Tablet,Medium,Return to pharmacy,No,Toxic if released into groundwater.
Pantoprazole 500mg,Low,Do not flush. Incinerate,No,Dispose carefully to avoid antibiotic resistance.
Pantoprazole Tablet,Medium,Return to pharmacy,No,Can enter waterways through improper disposal.
Pantoprazole Cap,High,Eco-bin drop-off,Yes,Disrupts soil microbes if composted.
Pantoprazole Tablet,Medium,Safe landfill,No,Should be incinerated to avoid soil contamination.
Pantoprazole Capsule,Low,Safe landfill,Yes,Disrupts soil microbes if composted.
Pantoprazole Tab,High,Hazardous waste treatment,No,Harmful to aquatic life.
Pantoprazole Oral,Low,Eco-bin drop-off,No,Toxic if released into groundwater.
Pantoprazole 500mg,High,Do not flush. Incinerate,Yes,Toxic if released into groundwater.
Pantoprazole Cap,High,Safe landfill,Yes,Can enter waterways through improper disposal.
Pantoprazole Tablet,Low,Hazardous waste treatment,Yes,Harmful to aquatic life.
Pantoprazole 500mg,Medium,Safe landfill,Yes,Disrupts soil microbes if composted.
Pantoprazole 250mg,Low,Eco-bin drop-off,Yes,Can enter waterways through improper disposal.
Pantoprazole 250mg,Medium,Do not flush. Incinerate,No,Avoid flushing. Dispose in eco-safe bins.
Pantoprazole 250mg,Medium,Hazardous waste treatment,Yes,Avoid flushing. Dispose in eco-safe bins.
Pantoprazole Cap,Medium,Hazardous waste treatment,Yes,Eco-hazardous if mixed with household waste.
Pantoprazole 500mg,Medium,Do not flush. Incinerate,Yes,Eco-hazardous if mixed with household waste.
Pantoprazole 100mg,Medium,Eco-bin drop-off,Yes,Eco-hazardous if mixed with household waste.
Pantoprazole XL,Low,Eco-bin drop-off,Yes,Avoid flushing. Dispose in eco-safe bins.
Pantoprazole Tab,High,Return to pharmacy,No,Can enter waterways through improper disposal.
Pantoprazole Tablet,Medium,Eco-bin drop-off,Yes,Dispose carefully to avoid antibiotic resistance.
Pantoprazole 100mg,Low,Do not flush. Incinerate,Yes,Can enter waterways through improper disposal.
Pantoprazole XL,High,Safe landfill,Yes,Eco-hazardous if mixed with household waste.
Pantoprazole 100mg,High,Return to pharmacy,No,Dispose carefully to avoid antibiotic resistance.
Pantoprazole 250mg,Medium,Do not flush. Incinerate,No,Can enter waterways through improper disposal.
Pantoprazole Tab,High,Do not flush. Incinerate,Yes,Can enter waterways through improper disposal.
Pantoprazole Tab,High,Return to pharmacy,Yes,Disrupts soil microbes if composted.
Pantoprazole Cap,Low,Return to pharmacy,Yes,Dispose carefully to avoid antibiotic resistance.
Pantoprazole SR,Medium,Return to pharmacy,Yes,Dispose carefully to avoid antibiotic resistance.
Pantoprazole Cap,Low,Eco-bin drop-off,Yes,Avoid flushing. Dispose in eco-safe bins.
Pantoprazole Capsule,Low,Hazardous waste treatment,Yes,Dispose carefully to avoid antibiotic resistance.
Pantoprazole 100mg,Low,Do not flush. Incinerate,Yes,Dispose carefully to avoid antibiotic resistance.
Pantoprazole Capsule,Low,Eco-bin drop-off,No,Harmful to aquatic life.
Pantoprazole XL,Low,Safe landfill,Yes,Disrupts soil microbes if composted.
Pantoprazole Oral,High,Do not flush. Incinerate,No,Avoid flushing. Dispose in eco-safe bins.
Pantoprazole Tab,Medium,Eco-bin drop-off,No,Should be incinerated to avoid soil contamination.
Pantoprazole SR,High,Eco-bin drop-off,No,Eco-hazardous if mixed with household waste.
Pantoprazole XL,Medium,Eco-bin drop-off,No,Eco-hazardous if mixed with household waste.
Pantoprazole Capsule,Medium,Do not flush. Incinerate,No,Dispose carefully to avoid antibiotic resistance.
Pantoprazole Capsule,Medium,Return to pharmacy,No,Eco-hazardous if mixed with household waste.
Pantoprazole 250mg,Low,Do not flush. Incinerate,No,Dispose carefully to avoid antibiotic resistance.
Pantoprazole Cap,Low,Do not flush. Incinerate,Yes,Disrupts soil microbes if composted.
Pantoprazole 500mg,Medium,Eco-bin drop-off,No,Harmful to aquatic life.
Pantoprazole 100mg,Medium,Do not flush. Incinerate,Yes,Avoid flushing. Dispose in eco-safe bins.
Pantoprazole XL,Medium,Hazardous waste treatment,No,Avoid flushing. Dispose in eco-safe bins.
Pantoprazole Tab,Low,Hazardous waste treatment,No,Should be incinerated to avoid soil contamination.
Pantoprazole Capsule,High,Safe landfill,Yes,Can enter waterways through improper disposal.
Pantoprazole Cap,Low,Safe landfill,No,Can enter waterways through improper disposal.
Pantoprazole Tab,High,Safe landfill,Yes,Eco-hazardous if mixed with household waste.
Pantoprazole Cap,Low,Hazardous waste treatment,No,Toxic if released into groundwater.
Pantoprazole 500mg,High,Do not flush. Incinerate,Yes,Avoid flushing. Dispose in eco-safe bins.
Pantoprazole Cap,Low,Safe landfill,Yes,Toxic if released into groundwater.
Pantoprazole Capsule,Low,Hazardous waste treatment,Yes,Dispose carefully to avoid antibiotic resistance.
Pantoprazole SR,Low,Safe landfill,No,Avoid flushing. Dispose in eco-safe bins.
